Name,Ingredients,Garnish,Preparation
cream of the crop,"1 oz mezcal, 1 oz king's ginger liqueur, .75 oz coconut pistachio puree*, .75 oz lemon juice",candied ginger,"shake with ice in a mixing glass for about 15 seconds to properly chill. double strain into a small fizz glass over ice.

*coconut pistachio puree:
-- .5 lb pistachios (toasted)
-- 1.5 lbs sugar (144 oz.)
-- 11 oz coconut milk
-- 13 oz water
-- 1 tsp salt

toast the pistachios at 250°f for 20 mins. remove and put in a blender with sugar until well chopped. combine all the ingredients in a pot and bring to a boil. let simmer for 20 mins and then remove from the heat. let cool and place in a large container. let the mixture sit overnight then strain out the solids. save the solids to spin in the ice cream maker (if you have one). spin the solids and add the mixture back into the puree via chinois. bottle, label and date the syrup (it will keep indefinitely if you freeze it)."
hemingway daiquiri,"1.5 oz pink pigeon rum, .75 oz fresh lime juice, .5 oz fresh grapefruit juice, .5 oz luxardo maraschino liqueur",grapefruit twist,shake with ice in a mixing tin and double strain into a chilled cocktail coupe. garnish with a grapefruit twist.
amaretto sour (modern),"2 oz luxardo amaretto di saschira, 1 oz fresh squeezed lemon juice, .5 oz pasteurized egg white, 1, small scoop lemon sorbet","luxardo cherries, fresh lemon zest",shake with ice to mix and emulsify. strain into a chilled old fashioned glass filled with ice. garnish with luxardo maraschino cherries and fresh lemon zest.
amaretto sour,"2 oz luxardo amaretto di saschira, 1 oz fresh lemon juice, .75 oz simple syrup, .5 oz egg white","luxardo cherries, fresh lemon zest",shake with ice to mix and emulsify. strain into a chilled old fashioned glass filled with ice. garnish with luxardo maraschino cherries and fresh lemon zest.
red letters,".75 oz bols genever, .75 oz luxardo maraschino liqueur, .75 oz absinthe, .75 oz lime juice",,"shake with ice, strain and pour into a chilled martini glass."
almond brother,"2 oz reposado tequila, .25 oz luxardo amaretto di saschira, 1 tsp luxardo apricot liqueur, .75 oz lime juice, .25 oz luxardo orgeat syrup, .25 oz maple syrup",,"shake with ice, strain into a coupe. no garnish."
french 33,"1.5 oz no.3 london dry gin, .75 oz simple syrup, .75 oz lime juice",grapefruit twist,"shake with ice, strain into flute, top with sparkling rose and a grapefruit twist."
20th century,"1.5 oz no.3 london dry gin, .75 oz tempus fugit kina l'aero d'or, .75 oz tempus fugit creme de cacao, .75 oz fresh lemon juice",,shake with ice. strain into a chilled cocktail glass.
vesper,"2.25 oz no.3 london dry gin, .75 oz hophead vodka, .5 oz tempus fugit kina l'aero d'or",lemon peel,shake with ice. strain into chilled martini glass. garnish with lemon peel.
the seniorita,"1.5 oz the genuine curacao liqueur orange, .5 oz lime juice, 1.5 oz thai coconut milk, 2 dash angostura bitters, 1 float gosslings 151 rum","luxardo cherries, mint sprig",shake with ice. strain into rocks glass and top with crushed ice. float 1 oz. of gosslings 151 rum on top.  garnish with mint and luxardo maraschino cherries.
champs élysées,"2 oz h by hine, .75 oz lemon juice, .5 oz green chartreuse, .25 oz simple syrup, 2 dash angostura bitters",lemon wheel,shake with intent. double strain in coupe. garnish with lemon wheel.
the double crown,"1.25 oz compass box great king street glasgow blend, .75 oz lemon juice, .5 oz cyril zangs double zero eau de vie de cidre, .5 oz king's ginger liqueur, .5 oz honey syrup, 1  egg white",sage leaf,"shake without ice, add ice and shake again then fine strain into a chilled egg coupe. garnish with a sage leaf."
flip the bird,"1.5 oz pink pigeon rum, .75 oz simple syrup, .75 oz cream, .5 oz punt e mes, 1  egg yolk",cinnamon,"shake without ice, to whip and emulsify ingredients until frothy. add ice to shaker and shake vigorously. strain into port glass or small fluted glass. garnish with shaved cinnamon or nutmeg.
"
mauritius sour,".75 oz pink pigeon rum, .75 oz hirsch small batch reserve bourbon, .5 oz angostura bitters, .75 oz lemon juice, .75 oz simple syrup",luxardo cherry,"shake, and fine strain into a chilled coupe, and garnish with a luxardo cherry."
i'm only happy when it rains,"1 1/2 oz old potrero straight rye whiskey, 3/4 oz hirsh pinot noir reduction, 1/4 oz luxardo sangue morlacco cherry liqueur, 3/4 oz lemon juice ",,"shake, double strain into a burgundy glass."
monet,"1.75 oz h by hine, 1 oz benriach madeira 15 yo, .5 oz lemon juice, .25 oz briottet creme de banane, .25 oz small hand foods pineapple gum syrup",lemon twist,"shake, fine strain into a chilled coupe. garnish with lemon twist."
hippi hill,"1.5 oz hophead vodka, .75 oz king's ginger liqueur, .5 oz lime juice, .5 oz cranberry juice",lime wheel,"shake, fine strain into chilled coupe. garnish with lime wheel."
buster crusta,"2 oz h by hine, 1 oz lemon juice, .75 oz the genuine curacao liqueur orange, .5 oz luxardo maraschino liqueur, .5 oz small hand foods gum syrup, 1 bsp luxardo fernet",,"shake, fine strain into chilled frosted coupe, float fernet."
bird on,".75 oz tempus fugit creme de menthe glaciale, .75 oz tempus fugit alessio vermouth bianco, .75 oz h by hine, .375 oz lemon juice, .375 oz lime juice",lemon wedge,"shake, serve on the rocks, garnish with a lemon wedge."
iron tonic,".75 oz luxardo maraschino liqueur, .75 oz genepy, .75 oz luxardo fernet, .75 oz lime juice, 1 float tonic water",,"shake, strain into a chilled coupe, float tonic water."
king's medicine,"1.5 oz king's ginger liqueur, .75 oz lemon juice, .5 oz luxardo fernet, .25 oz benriach curiositas single malt 10 yo",lemon twist,"shake, strain into a chilled coupe. garnish with lemon twist."
where's the orgeat?,"2 oz h by hine, 1 oz small hand foods orgeat, .75 oz lemon juice, .5 oz luxardo apricot liqueur, 3 dash angostura bitters",lemon twist,"shake, strain into a chilled coupe. garnish with lemon twist."
fortune & glory,"1.5 oz chinaco reposado tequila, 1 oz lime juice, .5 oz h by hine, .5 oz small hand foods orgeat, .5 oz falernum, 2 dash mole bitters",lime wheel,"shake, strain into a chilled coupe. garnish with lime wheel."
pisco punch (adaptation by the comstock saloon),"1.5 oz barsol selecto italia pisco, .75 oz small hand foods pineapple gum syrup, .75 oz lemon juice, 3 dash kaffir tincture",lemon peel,"shake, strain into a chilled flip glass with one cube. garnish with lemon peel."
cupid's carrier pigeon,"1 oz no.3 london dry gin, 1 oz velvet falernum, .75 oz pink pigeon rum, 1 oz unfiltered apple juice, 1 oz lime juice, 3 dash angostura bitters",mint sprig,"shake, strain into a tiki glass over crushed ice and garnish with a large sprig of mint.

"
the fall 75,"1 oz junipero gin, 1 oz spiced kuri squash purée*, 2 dash fresh lemon, 2 dash honey syrup",,"shake, strain into coupe glass. top with sparkling wine and a sprig of lemon balm."
kentucky mai tai,"1 oz mezcal, 1 oz bourbon, .5 oz lemon, .5 oz peche de vigne, .5 oz cynar, .5 oz orgeat, 4 dash angostura bitters","mint sprig, cherry","shake, strain over crushed ice in a highball. garnish with a mint sprig and a cherry."
drink lab #16,"2 oz brandy, .75 oz orgeat, .75 oz luxardo sangue morlacco cherry liqueur, .5 oz lemon juice, 10 drops bittermens burlesque bitters",lemon twist,"shake, strain, lemon twist garnish."
grey anchor,"2 oz hophead vodka, .75 oz lime juice, .5 oz st. germaine elderflower liqueur, .25 oz luxardo maraschino liqueur, 5 drops bittercube door county hop bitters",lime peel twist,"shake, strain, up, garnish."
pumpkin & pecan,"2 oz h by hine, .5 oz toasted pecan syrup, .75 oz lemon juice, .5 oz cynar, 1 bsp spiced pumpkin butter, 2 dash cinnamon tincture",orange peel,shake. double strain. king cube. orange peel garnish
the red anchor,"1.75 oz junipero gin, .75 oz lemon juice, .5 oz grapefruit juice, .5 oz tempus fugit kina l'aero d'or, .25 oz ginger syrup, .25 oz simple syrup (1.5 : 1)",grapefruit slice,shake. serve in small rocks glass with no ice. grapefruit slice to garnish.
holland house,"1 oz genever, 1 oz luxardo maraschino liqueur, .5 oz dry vermouth, .5 oz lemon juice, .5 oz pineapple gomme syrup","lemon peel, pineapple",shake. serve up. garnish with lemon peel/pineapple.
last samurai,"1 oz vodka, 1 oz gin, 1 oz luxardo maraschino liqueur, .5 oz cointreau",lime wheel,shake. serve up. garnish with lime wheel.
long division,"1.5 oz tequila, 1 oz luxardo maraschino liqueur, .5 oz aperol, .25 oz lime juice",lime peel,shake. serve up. top with sparkling rose. garnish with lime peel.
sidecar,"2 oz hine rare vsop, .75 oz mathilde orange xo liqueur, .75 oz lemon juice, 1 tsp demerara syrup (2:1)",lime twist,shake. strain into a coupe. garnish with a lime twist.
spiced marmalade,"2 oz junipero gin, 1 bsp orange marmalade, .5 oz lemon juice, 1 oz orange juice, .25 oz simple syrup, 2 dash orange bitters, 4  cloves torched & muddled",lemon twist,"shake/2strain/coupe

garnish lemon twist"
mezcal witch,"2 oz mezcal, .75 oz lime, .75 oz strega, .75 oz simple syrup, 3-4  cucumbers muddled, 3-4  mint leaves, 1 pinch salt",cucumber slice,"shake/2xstrain/coupe

garnish cucumber slice"
italian margarita,"1.5 oz maestro dobel diamante tequila, .5 oz luxardo amaretto di saschira, 1 oz fresh lime juice, .25 oz monin cane syrup",,shaken and served over ice.
a bloody shame,"1.5 oz vodka, .5 oz luxardo amaretto di saschira, .75 oz blood orange vanilla mint puree*, .75 oz lime juice",lime wheel,"shaken and strained into a large coupe. garnish with a dehydrated lime wheel soaked in angostura bitters.

*blood orange vanilla mint puree:
-- 1 container boiron blood orange puree (34 oz.)
-- 39 grams mint (stems and leaves)
-- 1 tsp vanilla extract
-- 30 oz white sugar

combine all the ingredients except the mint in a pot.
bring to a light simmer, stirring to incorporate everything.
then add the mint and cook for 5 minutes, then remove the pot from the heat and strain through a chinois to remove the mint.
label and date a container, then place in your fridge. use within a week."
full of bologna,"1 oz c. drouin calvados selection, 1 oz luxardo amaro abano, .75 oz pear watercress puree, .75 oz lemon juice",mint oil,shaken and strained into a large coupe. mint oil is house-made and used as a garnish.
donaji,"2 oz mezcal, .5 oz fresh lemon juice, .5 oz fresh lime juice, .75 oz agave nectar","chapuline, salt & chile pepper rim*","shaken and strained over ice in a rocks glass.

*chapuline, salt & chile pepper rim:
grind the chapuline  (dried crickets) and dried chile pepper in a mortar and pestle, as it becomes a powder, throw in the salt and pour onto a plate. use a fresh lime wedge to moisten the rim of the glass and dip into the powder."
monkey gland,"2 oz no.3 london dry gin, 1 oz orange juice, .25 oz grenadine, 1 dash duplais swiss absinthe blanche",orange peel,shaken and strained. orange peel garnish.
you go glen coco,"1.25 oz old potrero straight rye whiskey (toasted coconut infused)*, .5 oz king's ginger liqueur, 1.25 oz turmeric coconut cream**",turmeric toasted coconut flakes,"shaken slightly. served over shaved ice in an old fashioned glass. garnished with turmeric toasted coconut flakes.

*toasted coconut infused old potrero
-- 750ml old potrero straight rye whiskey
-- 2.5 oz toasted coconut

combine all ingredients in a clean container and let sit for 8 hours.
strain through cheesecloth and then funnel back into your old potrero bottles.
keeps indefinitely.

**turmeric coconut cream:
-- 12 g fresh turmeric
-- 1 c water
-- 1 c honey
-- 3 tsp black pepper
-- 12 oz coconut milk

grate fresh turmeric into 1 cup water.
bring to a boil, add 1 cup of honey and stir.
remove from heat and let the mix sit for 1:30 hours.
strain out turmeric and add 3 tsp. ground black pepper.
add 12 oz. coconut milk and stir.
place in an airtight container and keep in the fridge. use within a week."
just beet it,"1.5 oz junipero gin, 1 oz beet thyme reduction*, .5 oz licor 43, .5 oz lemon juice, .5  egg white",candied thyme,"shaken without ice, then with ice and strained into a large coupe. garnished with candied thyme.

*beet thyme reduction
-- 520 grams raw beets
-- 344 grams honey
-- 2 oranges peeled (just the peels)
-- 2 sprigs of thyme
-- pinch of salt

juice beets, add honey and let dissolve and cook for 15 mins.
add thyme and simmer for 5 more mins.
strain through a chinois into a container and then place in the fridge.
this makes 1 quart, so multiply as needed.
use within 1 week."
nectar of the amazon,"2 oz ypioca cachaca prata*, 1 oz passion fruit juice, 1 oz condensed milk",macadamia nut,"shaken, poured over fresh ice in highball. garnish with macadamia nut. coconut shaved rim."
thyme for bed,"1.5 oz chamucos blanco tequila, .5 oz luxardo sangue morlacco cherry liqueur, .5 oz thyme simple syrup, .5 oz lime juice",thyme sprig,shaken.
mott and mulberry,"1 oz luxardo amaro abano, 1 oz old overholt rye, .5 oz demerara simple syrup (1:1), .5 oz lemon juice, .75 oz fuji apple cider",apple fan,shaker and strain into a rocks glass with fresh ice. garnish with an apple fan.
carrier pigeon (an airmail with pink pigeon),"1 oz pink pigeon rum, .5 oz lime juice, .5 oz honey",,"short shake-strain into champagne flute- top with champagne.
drop a luxardo cherry into the flute.
"
the king's mulled wine,"1 bottle red wine, .3 bottle king's ginger liqueur, 3 tbsp caster sugar, 2  lemons, zested (plus flesh of one lemon), 1  orange, zested, 1 stick cinnamon, 1 dash nutmeg, 1  star anise",,"simmer over low heat for 3 hours, double strain with fine sieve."
tea & sympathy,"1 oz avua amburana cachaça, 1 oz king's ginger liqueur, .5 oz fresh squeezed lemon juice, 1 bag chai tea",lemon wheel,"soak 1 chai tea bag in half mug of hot water for 30 seconds, remove the tea bag, add all the ingredients, add more hot water.

lemon wheel stuffed with 4-5 cloves for garnish."
huntsman,"2 oz pink pigeon rum, 1 cube brown sugar","orange peel, luxardo cherry","soak brown sugar cube in angostura and orange bitters. muddle soaked sugar cube into a paste in a rocks glass. pour 2 oz. pink pigeon. add ice and stir. garnish with an orange peel and luxardo cherry.
"
the callas cocktail,"1 oz luxardo bitter bianco, .75 oz no.3 london dry gin, 1 bsp pomegranate cordial*, 1.25 oz brachetto, 1  sugar cube, 8 dash tempus fugit abbott's bitters",small rose,"soak cube in 8 dashes abbott's bitter. drop sugar cube into bottom of flute glass. stir, luxardo, gin, and pomegranate cordial. strain into flute glass. top with brachetto. garnish with small rose, dipped in rose flower water.

*pomegranate cordial:
-- 48 oz pomegranate juice
-- 2.5 lbs white sugar
-- 1 lb turbinado sugar
-- 8 course cracked black peppercorns
-- 2 cloves
-- 5 allspice berries
-- 1 tbsp pomegranate molasses
-- 1 oz orange flower water

mix all ingredients together in large saucepan. stir on medium heat until all sugar is dissolved. strain of spices. bottle."
mauritian buck,"40 ml pink pigeon rum, 40 ml pressed apple juice,   ginger ale,   absinthe,   lemon zest",lemon wheel,"spray a rocks glass with absinthe, build all other ingredients over cubed ice, garnish with a lemon wheel."
the cavalier white lady,"1 oz junipero gin, .75 oz creole shrub, .75 oz lemon juice, .25 oz lemon bitters, .5 oz simple syrup, 1  egg white",lemon verbana,"spray of lemon verbana oil on the martini glass. combine all other ingredients and dry shake for 20 seconds. add ice to the mixing tin and shake again. double strain into a martini glass. garnish with fresh lemon verbena. served in a martini.

"
winter season,"2 oz barr hill honey gin, 1 oz lemon juice, .25 oz liquid alchemist orgeat, .25 oz luxardo maraschino liqueur, 1 bsp dijon blue curaçao",,"spray the inside of the glass with absinthe, then sugar the external rim of the glass. pour ingredients into a cocktail shaker. shake and strain into the glass."
land of valencia,".75 oz luxardo bitter bianco, 1.5 oz bols genever, .5 oz clarified coconut sugar blood orange cordial*, 1 dash copper & kings absinthe","blood orange skin, mint sprigs","spray vessel with absinthe as a rinse. build cocktail in a stirring glass. stir cocktail. place a large format cube in the vessel. pour cocktail over large format cube.

to garnish, peel a blood orange skin and express the oils over the cocktail. grab mint sprigs and slap over the top of hand to express oils, wrap the peel at the base of the mint sprigs, tie off with twine and set on top of large format cube.

*clarified coconut sugar blood orange cordial:
-- blood oranges
-- agar agar
-- coconut sugar

juice blood oranges. bring 1/4 of juice to a boil with agar agar. pour cooked juice into the remaining 3/4 juice. freeze the juice. pull the block from the freezer and let drip through cheese cloth and perforated pan creating the clarified juice. bring the juice together with a rich (2:1) coconut sugar creating a coconut sugar blood orange cordial."
smashing great pumpkins,"1.5 oz pumpkin vodka, .75 oz new york apple whisky, .75 oz king's ginger liqueur, .5 oz hot water",,steam in steaming tin. pour in demitasse glass. top with heavy whipping cream and nutmeg.
green and gold,"750 ml bottle karlsson's gold vodka, 5 sprigs dill, 2 cloves crushed garlic, 1  lemon peel (white pith removed and julienned), 1 tbsp whole peppercorns",,"step one: infuse the vodka
- transfer ingredients including 750 ml of karlsson's vodka to a canning jar or glass container. close the container.
- shake and rotate every few hours. let infuse for 24 hours total.
- after 24 hours, strain the vodka through a cheesecloth or nutmilk bag.
- transfer the vodka to a glass bottle. store in the refrigerator or freezer until use.

step two: make the martini
- stir 2-3 oz, depending on preference, of the infused vodka with ice.
- strain into a chilled martini glass.
- add pickled onions and peppers."
deviled negroni,"1 oz no.3 london dry gin, 1 oz maurin quina, 1 oz luxardo bitter",lemon peel,"stir all 3 ingredients continuously in an ice-filled glass, approximately 20 seconds. strain into a rocks glass with one large ice cube."
el mustavo,"2 oz mezcal, 1 oz tempus fugit alessio vermouth chinato, 1 oz campari, 2 dash rhubarb bitters, 2 dash orange bitters","birch smoked sea salt rim, bow tie orange peel",stir all ingredients and pour over 2-inch single ice cube. garnish with birch smoked sea salt rim and bow tie orange peel.
temple of the moon,"1 oz junipero gin, 1 oz barsol primero quebranta pisco, 1 oz amaro sibilla, .25 oz simple syrup,  rinse st. george absinthe, 3 drops fee brothers orange flower water",mint sprig,"stir all ingredients except for absinthe and orange flower. strain over a chunk/sphere of ice in an old fashioned glass. garnish with a sprig of mint, with 3 drops of orange flower."
clear intentions,"1.5 oz luxardo bitter bianco, .5 oz krogstad aquavit, 1 bsp luxardo apricot liqueur, 1 dash orange cream citrate, 1.25 oz almond cream soda",infused olive & cherry,stir all ingredients over cubed ice and then strain over large rock while incorporating the cream soda. garnish with italian baking spice infused olive and cherry.
the queen mother,"1.75 oz bombay dry gin, .75 oz dubonnet rouge, .5 oz king's ginger liqueur, 3 dash lemon-celery bitters*",lemon peel,"stir all ingredients over ice and strain into a footed rocks glass. garnish with a lemon peel.

*equal parts lemon and celery bitters in a dasher bottle."
espèce de sazerac,"1 oz h by hine, .5 oz old overholt straight rye whiskey, .5 oz rittenhouse straight rye whisky, 1 bsp rich demerara simple syrup, 3 dash peychaud's bitters",,"stir all ingredients together, strain into a chilled large rocks glass, no ice. twist a zest of lemon above the drink, dip it once and then discard."
kanazawa,"2 oz nikka coffey grain whisky, .75 oz dry vermouth, .25 oz luxardo amaro abano, 1 bsp luxardo maraschino liqueur, 1 dash angostura bitters",orange peel,"stir all ingredients until well chilled, and strain into a chilled cocktail glass.
garnish with an orange peel with oils squeeze over cocktail."
frisco san,"1.5 oz nikka whisky taketsuru pure malt 12 yo, .75 oz barsol perfecto amor (aperitif wine), .25 oz benedictine, 1 dash angostura bitters",lemon peel,stir all ingredients with ice. strain into a chilled martini glass. garnish with a lemon peel.
sidewinder,"2 oz h by hine, .5 oz apple brandy, .25 oz benedictine, .25 oz yellow chartreuse, 1 dash vieux pontarlier absinthe francaise superieure, 1 dash peychaud's bitters",,"stir all the ingredients over ice, then strain into a coupe. no garnish."
sade's taboo,"2 oz h by hine, .75 oz cocchi americano, .75 oz dolin rouge vermouth, 1 dash bittermens hopped grapefruit bitters",,"stir all the ingredients over ice, then strain into a coupe. no garnish."
conference,".5 oz h by hine, .5 oz rye whiskey, .5 oz bourbon, .5 oz calvados, 1 tsp demerara syrup, 2 dash angostura bitters, 1 dash bittermens xocolatl mole bitters","lemon twist, orange twist","stir all the ingredients over ice, then strain into a double rocks glass over 1 large ice cube. garnish with a lemon twist and orange twist.
"
piedra de sol,"1.5 oz mezcal, .75 oz montenegro amaro liquore italiano, .75 oz calisaya liqueur, 2 dash regans' orange bitters no. 6",lemon peel,stir and garnish lemon peel.
parisian manhattan,"2 oz h by hine, 1 oz cocchi americano rosa, 1 dash angostura bitters, 3 drops bittercube cherry bark vanilla bitters",orange peel,stir and pour over ice in an old fashioned glass. garnish with an orange peel.
improved whisky cocktail,"2 oz nikka whisky taketsuru pure malt 12 yo, 1 dash luxardo maraschino liqueur, 1 dash pontarlier anis",,stir and strain into a chilled coupe.
day for night,"1.5 oz c. drouin calvados selection, .5 oz la quintinye vermouth rouge, .25 oz pedro ximenez sherry, .25 oz cannella cinnamon cordial, 1 dash angostura bitters",orange coin studded with 2 cloves,stir and strain into a chilled nick and nora glass. garnish with a clove(2) studded orange coin.
canary vs. the coal mine,".5 oz old forester bonded bourbon, .5 oz h by hine, 1 oz rock & rye, 1 oz cocchi americano rosa,   activated charcoal",dried apricot,stir and strain into an old fashioned glass with a large ice cube.
in hinesight,"1.5 oz h by hine, 1 oz luxardo bitter, .5 oz quady muscat wine",orange peel,stir and strain into an old fashioned glass. large ice cube.
cherry bark martinez,"2 oz old tom gin, .75 oz carpano antica, 1 spoon luxardo maraschino liqueur, 1 dash angostura bitters, 2 dash bittercube cherry bark bitters","star anise, lemon peel",stir and strain into stem. garnish torched star anise and discarded lemon peel.
coos bay,"1.5 oz nikka whisky taketsuru pure malt 12 yo, .5 oz etter zuger kirsch, .5 oz doug fir riesling syrup*, 15 dash kombu tincture**",seaweed,stir and strain over ice.
divine aspect,"1 oz no.3 london dry gin, 1 oz apple-infused wild turkey bourbon 101, 1 oz luxardo apricot liqueur",lemon peel,stir and strain up into cocktail glass.
above my pay grade,"1.5 oz semper fi white whiskey, .75 oz chateau de montifaud pineau des charentes rose, .75 oz tempus fugit gran classico bitter, 3 dash house-made citrus bitters",orange twist,stir and strain.
manhattan,"2 oz rye or bourbon whiskey, 1 oz tempus fugit spirits alessio vermouth di torino, 2 dash tempus fugit abbott's bitters",luxardo cherry,stir and strain. garnish with a luxardo maraschino cherry.
polish penance,"1.5 oz house-made slivovitz (plum brandy), 1 oz chamomile tea-infused noilly prat dry vermouth, .5 oz king's ginger liqueur, 3 dash peychaud's bitters",lemon twist,stir and strain. hoshizaki ice.
sloe & steady,"1.5 oz c. drouin calvados selection, .75 oz spirit works sloe gin, .5 oz bonal, 4 drops black salt tincture",orange peel,stir for about 20 seconds with ice and then strain into a chilled nick & nora glass.
50/50 split,"1.5 oz junipero gin, .75 oz dry vermouth, .75 oz tempus fugit alessio vermouth bianco, 1 dash the bitter truth orange bitters",lemon twist,stir gently and garnish with a lemon twist.
mayahuel's revenge,"1.5 oz chinaco blanco tequila, 1 oz vermut vermouth, .5 oz giffard banane du brésil, 3 dash bittercube jamaican #2 bitters",lemon zest,stir in a mixing glass to chill down and serve up in a coupe with a lemon zest garnish.
the commissioner's trophy #3,"1.5 oz no.3 london dry gin, 1 oz amaro, .5 oz barsol perfecto amor (aperitif wine), .5 oz strawberry shrub","orange zest, lemon zest",stir in a mixing glass with ice; strain into a coupe glass; garnish with orange and lemon zest.
alaska cocktail,"2.25 oz no.3 london dry gin, .75 oz green chartreuse, 3 dash orange bitters",,stir in mixing glass and serve in a chilled coupe.
bushido cocktail,"2 oz nikka whisky taketsuru pure malt 12 yo, .5 oz pedro ximenez sherry, 2 dash angostura bitters",luxardo cherry,stir ingredients and strain into cocktail glass. garnish with luxardo cherry.
abrazo latino,"1.5 oz chinaco reposado tequila, .75 oz luxardo amaro abano, .75 oz luxardo triplum (triple sec)",torched rosemary sprig,stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.
peruvian wish (adapted),"1.5 oz barsol pisco, .75 oz luxardo amaro abano, .75 oz luxardo maraschino liqueur",grapefruit peel,"stir ingredients in a mixing glass over an ice sphere(if available) then strain and serve into a chilled cocktail glass filled with the same ice sphere. garnish with lemon balm and grapefruit peel.

"
the awen,"1.5 oz pot still-style irish whiskey, .5 oz luxardo maraschino liqueur, 1 oz cocchi americano, 1 dash orange bitters","star anise, sliced fig",stir ingredients in glass over an ice sphere.
nikka's golden cherry,"2 oz nikka coffey grain whisky, .5 oz luxardo maraschino liqueur, .75 oz dry vermouth infusion*, 2 dash bittermens burlesque bitters,  top lemon foam**",,"stir ingredients over cracked ice. with a julep strainer, pour into a chilled cocktail glass. once poured, top with lemon foam.

*dry vermouth infusion:
-- 1.5 oz togarashi spice
-- 3 vanilla beans
-- 2 bags of green tea
place ingredients in cheesecloth to steep in a bell jar with 1 bottle of dolin dry vermouth for 2 days.
remove the infusion elements and refrigerate the infusion.

**lemon foam:
-- 1 bsp lemon juice
-- 1 bsp simple syrup
-- 1 egg white
place ingredients into a shaker tin and whip with a bar whisk into a foam."
bird on a wire,"1.5 oz pink pigeon rum, .5 oz nikka whisky taketsuru pure malt 12 yo, .5 oz peychaud's bitters, .5 oz luxardo maraschino liqueur",lemon peel,stir ingredients together and strain into an absinthe-rinsed coupe. garnish with a lemon twist/peel.
kind of fancy,"1.5 oz h by hine, .75 oz wild turkey 101 rye, .5 oz bin 27 port, .25 oz yellow chartreuse, 2 dash mole bitters",dukes orange twist,stir ingredients with ice and strain into canadian glencairn glass.
cherry shandy,"1.5 oz luxardo sangue morlacco cherry liqueur, 6 oz ipa",luxardo cherry,stir ipa and luxardo in a tumbler. garnish with luxardo cherry.
playa matalan (mezcal negroni),"2 oz mezcal, .75 oz tempus fugit alessio vermouth chinato, .75 oz tempus fugit gran classico bitter, 2 dash tempus fugit abbott's bitters",orange peel zest,stir over 1 large rock. garnish with zest of an orange peel.
party in the agave fields,"2 oz mezcal, .75 oz luxardo triplum (triple sec), .75 oz luxardo amaro abano, 3 dash tempus fugit abbott's bitters",orange peel zest,stir over 1 large rock. garnish with zest of an orange peel.
the pink aperitivo,"30 ml pink pigeon rum, 15 ml luxardo aperitivo, 15 ml red vermouth, 2 dash peychaud's bitters",black olive,"stir over cubed/vintage ice, double strain into a small chilled martini glass. garnish with a black olive on a pick."
nikka earl grey,"2.5 oz nikka whisky taketsuru pure malt 12 yo, .5 oz honey, .5 oz earl grey syrup,   smoked malt",,stir over ice and serve in a rocks glass.
mean martinez,"1.5 oz old tom gin, 1 oz lustau east india solera, .5 oz grand poppy liqueur",,stir over ice and strain into a nick and nora glass.
astoria,"2 oz junipero gin, 1 oz dry vermouth, 1-2 dash orange bitters",lemon twist,"stir over ice for at least 30 seconds, strain into cocktail glass. garnish with lemon twist."
cherry champagne cocktail,"4 oz champagne or prosecco, 1 oz tart cherry juice, .5 oz luxardo maraschino liqueur, 4 dash mole bitters, 1 bsp luxardo amaro abano",thyme,"stir the cherry juice, maraschino, bitters and amaro in a mixing glass with ice. strain into a cocktail coupe and top with champagne. garnish with a sprig of thyme."
the chief,"1.5 oz junipero gin, .75 oz cocchi americano, .5 oz salers gentiane aperitif, 2 drops black licorice-infused angostura bitters, 1 drop sea salt tincture",brandied cherries,stir the first three ingredients and the sea salt tincture over ice. strain into a coupe glass and add licorice-infused angostura bitters. garnish with 3 brandied cherries.
el cortez,"1 oz luxardo apricot liqueur, 1.5 oz chinaco reposado tequila, 2 oz dry riesling",grapfruit peel,"stir the first two ingredients with ice, then strain into a chilled wine glass. top with chilled wine, stir and serve."
the lady whisper,"1 oz aged rum, 1 oz old potrero straight rye whiskey, .5 oz luxardo apricot liqueur, .5 oz luxardo sangue morlacco cherry liqueur, 2 dash bitters",lemon peel,"stir the ingredients in a mixing glass filled with ice, strain and serve over ice into an old fashioned glass."
angel face (classic),"1 oz luxardo apricot liqueur, 1 oz c. drouin calvados selection, 1 oz no.3 london dry gin",lemon peel oils,"stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass."
improved calvados cocktail,"2 oz c. drouin calvados selection, 1 bsp benedictine, 1 bsp green chartreuse, 1 bsp small hand foods gum syrup, 2 dash angostura bitters",orange peel,"stir to 35 °f, strain into a double rocks glass over an angled ice wedge. garnish with orange peel."
dirt nap,"1.5 oz noilly prat dry vermouth*, .75 oz oloroso sherry, .75 oz king's ginger liqueur",,stir with ice and serve in a nick and nora glass (slimmer version of a coupe).
cherry blossom martini,"2 oz karlsson's gold vodka, 1 oz dolin dry vermouth, .25 oz luxardo maraschino liqueur, 6 dash celery bitters",cherry tree blossom,stir with ice and strain into a chilled coupe. garnish with a fresh cherry tree blossom.
pineapple express,"1 oz charbay ruby red grapefruit vodka, 1 oz vya dry vermouth, .75 oz hophead vodka, .25 oz small hand foods pineapple gum syrup",grapefruit twist,stir with ice and strain into a chilled coupe. garnish with a grapefruit twist.
